population_size,generations,crossover_rate,mutation_rate,use_2opt,elitism_count,tournament_size,two_opt_iterations,num_runs,mean_distance_km,std_distance_km,min_distance_km,max_distance_km,mean_execution_time,std_execution_time,mean_improvement_pct,mean_convergence_gen,feasible_rate
100,300,0.6,0.01,True,2,3,50,3,26.8529,1.5642,25.4113,28.516,8.26,0.13,62.41,3.7,0.0
100,300,0.6,0.01,True,2,3,500,3,26.7467,1.8098,24.7331,28.2378,8.27,0.11,64.38,4.3,0.0
100,300,0.6,0.01,True,2,5,50,3,23.3059,1.8024,22.0055,25.3633,8.31,0.1,73.59,6.7,66.7
100,300,0.6,0.01,True,2,3,100,3,28.0352,1.8443,25.9434,29.4272,8.42,0.1,54.91,3,0.0
100,300,0.6,0.01,True,2,5,100,3,24.3648,1.4583,23.3984,26.0422,8.25,0.02,66.53,4.3,66.7
100,300,0.6,0.01,True,2,5,500,3,24.8062,3.277,21.3176,27.8198,8.44,0.12,72.7,2.7,33.3
100,300,0.6,0.01,True,2,8,50,3,25.1021,1.8568,23.0459,26.6562,8.43,0.14,75.8,4,33.3
100,300,0.6,0.01,True,2,8,100,3,24.1867,2.8885,20.859,26.0458,8.45,0.05,63.65,7.7,33.3
100,300,0.6,0.01,True,2,8,500,3,24.1021,2.2168,21.7889,26.208,8.31,0.07,69.78,3.3,33.3
100,300,0.6,0.01,True,5,3,50,3,25.92,2.2208,23.356,27.2349,8.21,0.05,53.38,2,33.3
100,300,0.6,0.01,True,5,3,100,3,25.2313,2.5378,22.3542,27.1516,8.22,0.05,68.79,6.3,33.3
100,300,0.6,0.01,True,5,3,500,3,25.1429,0.2668,24.8838,25.4168,8.2,0.11,63.07,8.3,0.0
100,300,0.6,0.01,True,5,5,50,3,24.2797,2.2103,22.1031,26.5223,8.06,0.02,65.5,8.3,33.3
100,300,0.6,0.01,True,5,5,100,3,25.0725,0.7122,24.2523,25.5343,8.08,0.0,69.04,7,0.0
100,300,0.6,0.01,True,5,5,500,3,24.3105,6.193,17.3224,29.1191,8.07,0.01,63.77,3.7,33.3
100,300,0.6,0.01,True,5,8,50,3,21.9653,0.9128,21.0177,22.8389,8.14,0.02,78.71,9,100.0
100,300,0.6,0.01,True,10,3,50,3,23.9359,1.3861,22.3469,24.897,7.69,0.02,57.92,3,33.3
100,300,0.6,0.01,True,10,3,100,3,22.4655,2.088,20.0546,23.6914,7.79,0.1,70.83,4.3,100.0
