population_size,generations,crossover_rate,mutation_rate,use_2opt,elitism_count,tournament_size,two_opt_iterations,num_runs,mean_distance_km,std_distance_km,min_distance_km,max_distance_km,mean_execution_time,std_execution_time,mean_improvement_pct,mean_convergence_gen,feasible_rate
100,20,0.6,0.01,True,2,3,50,3,20.6074,1.0232,19.756,21.7425,0.15,0.04,59.37,8.3,33.3
100,20,0.6,0.01,True,2,3,100,3,21.1853,0.754,20.3369,21.7788,0.13,0.0,71.04,11.3,0.0
100,20,0.6,0.01,True,2,3,500,3,19.9135,0.118,19.788,20.0223,0.14,0.01,61.14,11.7,66.7
100,20,0.6,0.01,True,2,5,50,3,19.9672,3.4864,16.223,23.1203,0.14,0.01,74.87,8,33.3
100,20,0.6,0.01,True,2,5,100,3,20.3296,0.4544,19.9247,20.821,0.14,0.01,72.53,9,33.3
100,20,0.6,0.01,True,2,5,500,3,22.5136,0.3946,22.0815,22.8547,0.14,0.01,62.77,8.3,0.0
100,20,0.6,0.01,True,2,8,50,3,21.3338,0.7889,20.7665,22.2347,0.15,0.01,68.04,6.3,0.0
100,20,0.6,0.01,True,2,8,100,3,22.5466,0.4041,22.0803,22.7959,0.19,0.02,67.74,6.7,0.0
100,20,0.6,0.01,True,2,8,500,3,23.282,2.5051,20.5094,25.3826,0.19,0.02,59.51,6.7,0.0
100,20,0.6,0.01,True,5,3,50,3,21.2886,4.8287,16.5367,26.1906,0.15,0.01,77.64,10.3,33.3
100,20,0.6,0.01,True,5,3,100,3,18.4375,0.5223,17.9556,18.9925,0.17,0.03,73.01,11,100.0
100,20,0.6,0.01,True,5,3,500,3,19.31,1.4188,17.965,20.7926,0.14,0.02,75.84,11.3,66.7
100,20,0.6,0.01,True,5,5,50,3,24.3539,5.1692,18.454,28.087,0.13,0.01,60.91,6.7,33.3
100,20,0.6,0.01,True,5,5,100,3,22.989,1.3906,21.9414,24.5666,0.13,0.0,73.22,5,0.0
100,20,0.6,0.01,True,5,5,500,3,20.1854,0.4544,19.8098,20.6905,0.14,0.0,73.11,7.3,33.3
100,20,0.6,0.01,True,5,8,50,3,18.5755,2.3425,15.8707,19.9511,0.13,0.01,79.5,6,100.0
100,20,0.6,0.01,True,5,8,100,3,25.5643,3.4592,21.6268,28.1147,0.14,0.01,70.96,4.7,0.0
100,20,0.6,0.01,True,5,8,500,3,21.8586,1.2634,20.6653,23.182,0.16,0.0,73.45,8,0.0
100,20,0.6,0.01,True,10,3,50,3,23.0223,1.3341,21.4949,23.96,0.18,0.04,65.3,10.3,0.0
100,20,0.6,0.01,True,10,3,100,3,22.5763,1.0213,21.5933,23.632,0.16,0.01,68.07,10.7,0.0
100,20,0.6,0.01,True,10,3,500,3,18.7131,2.6213,15.7417,20.6982,0.18,0.04,80.14,11.7,66.7
100,20,0.6,0.01,True,10,5,50,3,20.0557,0.7743,19.1662,20.5786,0.15,0.01,60.08,7.7,33.3
100,20,0.6,0.01,True,10,5,100,3,21.1301,1.5613,19.3458,22.2456,0.14,0.0,67.38,7,33.3
100,20,0.6,0.01,True,10,5,500,3,22.9309,3.3457,19.0874,25.1903,0.14,0.01,60.62,9.7,33.3
100,20,0.6,0.01,True,10,8,50,3,22.3414,0.9771,21.267,23.177,0.14,0.0,71.19,8.3,0.0
100,20,0.6,0.01,True,10,8,100,3,21.2702,0.6088,20.8042,21.9591,0.14,0.01,77.88,7.3,0.0
100,20,0.6,0.01,True,10,8,500,3,23.6623,2.9919,20.413,26.3033,0.15,0.0,63.66,5,0.0
100,20,0.6,0.01,False,2,3,50,3,24.4553,1.2885,23.4519,25.9084,0.08,0.03,58.76,11.3,0.0
100,20,0.6,0.01,False,2,3,100,3,22.2307,0.392,21.7899,22.5399,0.06,0.0,76.46,11.7,0.0
100,20,0.6,0.01,False,2,3,500,3,22.1638,1.7276,20.2889,23.6914,0.06,0.01,71.02,15,0.0
100,20,0.6,0.01,False,2,5,50,3,23.2088,0.4704,22.6945,23.6171,0.06,0.0,70.35,9.3,0.0
100,20,0.6,0.01,False,2,5,100,3,24.9741,1.329,23.61,26.265,0.07,0.0,67.41,11,0.0
100,20,0.6,0.01,False,2,5,500,3,24.4894,2.5824,22.8922,27.4687,0.06,0.01,62.54,8.3,0.0
100,20,0.6,0.01,False,2,8,50,3,25.0041,4.0511,20.8967,28.9965,0.1,0.03,66.57,7,0.0
100,20,0.6,0.01,False,2,8,100,3,28.8742,4.0866,26.1636,33.5746,0.06,0.01,54.15,5.3,0.0
100,20,0.6,0.01,False,2,8,500,3,25.269,2.1011,23.8359,27.6809,0.07,0.01,66.8,6.3,0.0
100,20,0.6,0.01,False,5,3,50,3,25.1037,2.9593,21.8713,27.6797,0.06,0.01,56.18,9,0.0
100,20,0.6,0.01,False,5,3,100,3,23.9778,2.1493,21.8573,26.1547,0.06,0.01,56.48,11.3,0.0
