population_size,generations,crossover_rate,mutation_rate,use_2opt,num_runs,mean_distance_km,std_distance_km,min_distance_km,max_distance_km,mean_execution_time,std_execution_time,mean_improvement_pct,mean_convergence_gen,feasible_rate
100,40,0.8,0.01,True,3,23.824,2.2461,22.3403,26.4081,0.43,0.03,69.02,5.7,0.0
100,40,0.8,0.01,False,3,25.0123,4.4257,20.167,28.8419,0.16,0.01,66.76,6.7,0.0
100,40,0.8,0.05,True,3,18.6069,0.5861,17.9361,19.0199,0.41,0.02,70.17,7.7,100.0
100,40,0.8,0.05,False,3,24.3774,5.2185,20.4198,30.2914,0.17,0.02,64.35,7,0.0
100,40,0.8,0.2,True,3,18.7231,2.5162,15.8707,20.6278,0.44,0.03,75.87,6.3,66.7
100,40,0.8,0.2,False,3,22.6776,2.5821,20.6805,25.5934,0.2,0.05,63.13,8.3,0.0
100,40,0.8,0.5,True,3,19.68,2.6391,16.6385,21.3641,0.49,0.02,76.31,6.7,33.3
100,40,0.8,0.5,False,3,23.585,4.6314,18.3842,27.264,0.19,0.06,72.95,7.3,33.3
100,40,0.9,0.01,True,3,18.4371,2.5409,16.3208,21.2551,0.32,0.05,77.74,7.7,66.7
100,40,0.9,0.01,False,3,21.4649,1.369,19.8975,22.4265,0.12,0.0,72.77,7.7,33.3
100,40,0.9,0.05,True,3,20.4295,1.5624,18.6529,21.5898,0.4,0.05,69.98,6.3,33.3
100,40,0.9,0.05,False,3,22.1583,0.4321,21.8872,22.6566,0.15,0.01,70.65,10,0.0
100,40,0.9,0.2,True,3,22.8924,2.5307,21.1259,25.7916,0.39,0.02,68.18,6.3,0.0
100,40,0.9,0.2,False,3,21.4075,0.6971,20.9936,22.2123,0.16,0.01,69.9,7.3,0.0
100,40,0.9,0.5,True,3,21.3418,1.9496,19.7696,23.5232,0.43,0.02,65.77,6.3,33.3
100,40,0.9,0.5,False,3,20.3378,1.1061,19.3259,21.5187,0.16,0.01,70.12,7.7,33.3
100,80,0.6,0.01,True,3,23.8267,6.8204,19.2946,31.6706,0.66,0.01,68.31,6,33.3
100,80,0.6,0.01,False,3,27.0602,6.1244,21.6129,33.6894,0.28,0.02,59.9,6.3,0.0
100,80,0.6,0.05,True,3,22.4631,2.1541,20.2898,24.5974,0.68,0.01,71.41,6,0.0
100,80,0.6,0.05,False,3,23.633,3.6189,19.6685,26.7592,0.27,0.01,63.84,5,33.3
100,80,0.6,0.2,True,3,20.8122,2.5953,18.4591,23.5959,0.85,0.06,76.62,6.7,33.3
100,80,0.6,0.2,False,3,25.8909,5.2515,22.7253,31.9529,0.29,0.02,58.48,7.3,0.0
100,80,0.6,0.5,True,3,21.9175,1.2605,20.5766,23.0782,0.83,0.04,76.88,5.3,0.0
100,80,0.6,0.5,False,3,24.5874,2.8157,22.4777,27.7847,0.26,0.01,68.0,6.3,0.0
100,80,0.7,0.01,True,3,23.1685,2.2017,20.9822,25.3852,0.67,0.01,70.06,6,0.0
100,80,0.7,0.01,False,3,22.0443,0.8797,21.0926,22.8277,0.27,0.01,56.26,6.3,0.0
100,80,0.7,0.05,True,3,22.6724,1.2759,21.2001,23.4553,0.69,0.01,66.33,7,0.0
100,80,0.7,0.05,False,3,25.4574,2.1055,23.7289,27.8023,0.28,0.01,63.18,7.3,0.0
100,80,0.7,0.2,True,3,21.839,0.6535,21.2527,22.5435,0.74,0.07,68.23,6.7,0.0
100,80,0.7,0.2,False,3,25.8691,3.4448,23.7967,29.8457,0.27,0.01,63.73,7,0.0
100,80,0.7,0.5,True,3,20.1246,2.3011,17.4885,21.7313,0.86,0.08,75.66,7.7,33.3
100,80,0.7,0.5,False,3,25.6788,7.7639,21.1441,34.6436,0.28,0.02,60.75,9.7,0.0
100,80,0.8,0.01,True,3,20.7084,3.6449,17.2253,24.496,0.68,0.02,76.17,6,33.3
100,80,0.8,0.01,False,3,28.9068,2.2852,27.0309,31.4519,0.27,0.01,53.08,5.7,0.0
100,80,0.8,0.05,True,3,20.2043,1.2017,18.8373,21.0942,0.7,0.01,64.08,8,33.3
100,80,0.8,0.05,False,3,21.9722,1.884,20.6567,24.1304,0.21,0.03,70.32,7.3,0.0
100,80,0.8,0.2,True,3,20.1391,0.9008,19.3197,21.1036,0.49,0.02,73.13,7.7,66.7
100,80,0.8,0.2,False,3,21.8265,1.705,19.9369,23.25,0.17,0.0,64.19,9.7,33.3
100,80,0.8,0.5,True,3,22.128,1.9307,20.1864,24.0477,0.61,0.01,69.59,7,0.0
100,80,0.8,0.5,False,3,24.6069,3.5171,20.9328,27.9426,0.2,0.0,71.33,8.7,0.0
100,80,0.9,0.01,True,3,20.0574,2.3937,17.3216,21.7659,1.05,0.21,77.11,7,33.3
100,80,0.9,0.01,False,3,23.6017,2.0499,21.5851,25.6833,0.51,0.05,72.98,6.3,0.0
100,80,0.9,0.05,True,3,20.9791,1.265,19.6758,22.202,1.3,0.12,77.26,5.3,33.3
100,80,0.9,0.05,False,3,20.3902,0.8235,19.6834,21.2945,0.56,0.03,76.88,6.3,33.3
100,80,0.9,0.2,True,3,22.0038,0.309,21.6821,22.2983,1.6,0.12,74.84,6,0.0
100,80,0.9,0.2,False,3,20.5326,0.5765,20.1202,21.1914,0.25,0.12,71.0,7,0.0
100,80,0.9,0.5,True,3,19.8309,1.6909,18.595,21.7579,0.57,0.05,76.65,8,66.7
100,80,0.9,0.5,False,3,22.745,1.8213,21.2481,24.7727,0.2,0.01,60.89,9,0.0
300,20,0.6,0.01,True,3,16.981,1.8973,15.8707,19.1718,0.45,0.03,75.34,8.3,100.0
300,20,0.6,0.01,False,3,21.177,3.3653,19.0184,25.0546,0.18,0.01,59.67,8.7,66.7
300,20,0.6,0.05,True,3,17.458,1.9885,15.2698,19.1546,0.48,0.11,68.2,7.3,100.0
300,20,0.6,0.05,False,3,18.2412,2.0627,15.8753,19.6616,0.17,0.01,74.28,9.3,100.0
300,20,0.6,0.2,True,3,19.6367,1.1959,18.4699,20.8597,0.45,0.01,68.34,6.7,66.7
300,20,0.6,0.2,False,3,17.7944,3.2195,15.7417,21.505,0.17,0.0,67.74,8.3,66.7
300,20,0.6,0.5,True,3,17.033,1.68,15.4234,18.7756,0.47,0.02,72.76,9,100.0
300,20,0.6,0.5,False,3,19.8479,0.146,19.7355,20.0129,0.17,0.01,65.16,8,66.7
300,20,0.7,0.01,True,3,15.9527,1.2059,15.2565,17.3451,0.4,0.01,74.38,7.3,100.0
300,20,0.7,0.01,False,3,19.7646,1.0412,18.5833,20.5491,0.14,0.01,62.95,8,33.3
300,20,0.7,0.05,True,3,17.796,1.4959,16.2023,19.1697,0.37,0.0,63.96,7.3,100.0
300,20,0.7,0.05,False,3,21.066,1.2291,19.7545,22.1915,0.14,0.01,65.81,10.3,33.3
300,20,0.7,0.2,True,3,18.2916,0.9545,17.1896,18.8559,0.42,0.05,70.76,6.3,100.0
300,20,0.7,0.2,False,3,18.0755,2.5532,15.2565,20.2326,0.17,0.0,68.88,10,66.7
300,20,0.7,0.5,True,3,17.8603,2.1929,15.4234,19.6744,0.48,0.02,65.72,8,100.0
300,20,0.7,0.5,False,3,18.1753,1.9307,16.7674,20.3763,0.17,0.0,67.07,9.7,66.7
300,20,0.8,0.01,True,3,17.5126,1.1293,16.2184,18.2981,0.38,0.02,64.46,7.7,100.0
300,20,0.8,0.01,False,3,20.6153,1.4062,19.1115,21.8977,0.15,0.01,65.35,9.7,33.3
300,20,0.8,0.05,True,3,19.3383,0.7714,18.4688,19.9405,0.37,0.01,71.85,7,100.0
300,20,0.8,0.05,False,3,19.3734,2.5116,16.8915,21.9137,0.15,0.0,59.87,7.3,66.7
300,20,0.8,0.2,True,3,16.8408,2.0664,15.4234,19.2118,0.44,0.01,73.0,7.3,100.0
300,20,0.8,0.2,False,3,19.175,0.6409,18.439,19.6104,0.17,0.0,70.95,10,100.0
300,20,0.8,0.5,True,3,17.6108,1.2249,16.8441,19.0234,0.48,0.01,56.94,6.7,100.0
300,20,0.8,0.5,False,3,18.6595,0.4495,18.2153,19.1142,0.15,0.0,70.64,10,100.0
300,20,0.9,0.01,True,3,18.3722,2.3622,15.6674,20.0297,0.37,0.01,60.15,7.3,66.7
300,20,0.9,0.01,False,3,18.158,1.3998,17.3441,19.7743,0.15,0.0,71.28,8,100.0
300,20,0.9,0.05,True,3,17.569,1.5615,16.2631,19.2986,0.39,0.03,58.55,7.3,100.0
300,20,0.9,0.05,False,3,17.0159,0.8354,16.3453,17.9517,0.17,0.0,68.56,10.7,100.0
300,20,0.9,0.2,True,3,16.7667,2.4553,14.8723,19.5406,0.46,0.02,71.77,6.7,100.0
300,20,0.9,0.2,False,3,16.1301,0.4595,15.6674,16.5864,0.17,0.01,78.78,8.7,100.0
300,20,0.9,0.5,True,3,17.8574,1.6284,16.2189,19.4755,0.46,0.03,69.15,8.3,100.0
300,20,0.9,0.5,False,3,19.015,0.9715,17.9517,19.8562,0.15,0.0,59.26,8,100.0
300,40,0.6,0.01,True,3,18.9421,0.9961,18.2041,20.0751,0.72,0.04,62.2,7.3,66.7
300,40,0.6,0.01,False,3,19.9365,0.9042,18.9575,20.7404,0.3,0.0,69.87,11.3,33.3
300,40,0.6,0.05,True,3,17.4873,1.4541,16.3208,19.1164,0.74,0.06,69.62,6.3,100.0
300,40,0.6,0.05,False,3,20.4895,1.3211,19.3769,21.9496,0.26,0.01,70.25,6.3,33.3
300,40,0.6,0.2,True,3,20.0662,0.9419,19.4479,21.1502,0.79,0.06,70.07,8,66.7
300,40,0.6,0.2,False,3,20.4125,1.3215,19.0367,21.6721,0.3,0.0,64.92,9.3,33.3
300,40,0.6,0.5,True,3,17.7974,1.4635,16.2573,19.1699,0.83,0.08,73.61,8.3,100.0
300,40,0.6,0.5,False,3,16.6973,1.3274,15.2565,17.8706,0.27,0.0,71.64,9,100.0
300,40,0.7,0.01,True,3,17.8944,2.0723,15.7417,19.8756,0.73,0.05,74.98,8.3,100.0
300,40,0.7,0.01,False,3,19.5047,2.4796,18.0137,22.367,0.3,0.01,62.32,8.7,66.7
300,40,0.7,0.05,True,3,18.162,1.8005,16.2051,19.7486,0.79,0.05,65.22,7,100.0
300,40,0.7,0.05,False,3,18.6254,0.8214,17.802,19.4447,0.28,0.03,65.45,8,100.0
300,40,0.7,0.2,True,3,16.8773,2.1292,15.4234,19.3212,0.85,0.03,71.99,8,100.0
300,40,0.7,0.2,False,3,19.0166,0.5025,18.6003,19.5748,0.3,0.0,67.26,10.3,100.0
300,40,0.7,0.5,True,3,17.7368,0.3596,17.3216,17.9494,0.93,0.03,70.98,8,100.0
300,40,0.7,0.5,False,3,18.0217,2.5947,15.2565,20.4033,0.29,0.02,67.08,10,66.7
300,40,0.8,0.01,True,3,17.1777,0.8595,16.2184,17.8778,0.72,0.04,62.11,7.3,100.0
300,40,0.8,0.01,False,3,19.5618,1.3626,18.4699,21.0888,0.3,0.01,67.57,7.7,66.7
300,40,0.8,0.05,True,3,16.5833,1.1938,15.2698,17.6022,0.77,0.04,76.24,8.3,100.0
300,40,0.8,0.05,False,3,17.7124,2.4755,15.6674,20.4645,0.27,0.01,67.53,8.7,66.7
300,40,0.8,0.2,True,3,16.5602,1.6097,15.4101,18.3998,0.82,0.06,75.48,7,100.0
300,40,0.8,0.2,False,3,19.579,2.0568,17.5022,21.6152,0.32,0.01,69.5,9.3,66.7
300,40,0.8,0.5,True,3,17.3023,1.8314,15.7417,19.3184,0.94,0.12,70.02,8.3,100.0
300,40,0.8,0.5,False,3,19.6445,0.6379,19.1192,20.3544,0.31,0.02,67.27,10,66.7
300,40,0.9,0.01,True,3,18.3808,2.6565,15.9649,21.2257,0.75,0.07,59.02,9,66.7
300,40,0.9,0.01,False,3,19.8343,0.618,19.1976,20.4317,0.34,0.03,58.82,7.7,66.7
300,40,0.9,0.05,True,3,17.8124,1.3901,16.2184,18.7724,0.8,0.01,73.3,7.3,100.0
300,40,0.9,0.05,False,3,18.1064,0.1823,17.9192,18.2833,0.3,0.0,67.62,10.3,100.0
300,40,0.9,0.2,True,3,16.9821,1.5837,15.2565,18.3691,0.77,0.04,74.66,8,100.0
300,40,0.9,0.2,False,3,18.2511,0.3726,17.8573,18.5981,0.27,0.01,69.29,10,100.0
300,40,0.9,0.5,True,3,18.1874,1.8299,16.1366,19.6533,0.89,0.11,70.2,7.7,100.0
300,40,0.9,0.5,False,3,15.9296,0.5419,15.4101,16.4915,0.32,0.0,74.56,8.3,100.0
300,80,0.6,0.01,True,3,18.0792,1.9334,15.9052,19.6061,1.37,0.08,69.48,8.7,100.0
300,80,0.6,0.01,False,3,20.3998,5.261,14.9866,25.494,0.55,0.01,59.7,6.3,33.3
300,80,0.6,0.05,True,3,18.4503,0.8275,17.5022,19.0272,1.54,0.02,64.27,7,100.0
300,80,0.6,0.05,False,3,19.0373,2.0364,16.9086,20.9668,0.57,0.01,68.21,9.7,66.7
300,80,0.6,0.2,True,3,18.1142,2.0998,15.7417,19.7338,1.61,0.03,63.43,6.7,100.0
300,80,0.6,0.2,False,3,19.0484,0.0945,18.94,19.1135,0.54,0.03,59.96,8.7,100.0
300,80,0.6,0.5,True,3,16.914,0.571,16.3619,17.5022,1.77,0.05,65.97,8.3,100.0
300,80,0.6,0.5,False,3,19.004,0.2372,18.7987,19.2637,0.55,0.04,71.13,10.3,100.0
300,80,0.7,0.01,True,3,16.994,1.1147,15.8873,18.1165,1.49,0.03,74.82,7.7,100.0
300,80,0.7,0.01,False,3,20.8035,1.7037,19.3842,22.6929,0.52,0.05,63.59,7.7,33.3
300,80,0.7,0.05,True,3,16.0432,1.2669,14.8635,17.3822,1.48,0.09,63.64,8.3,100.0
300,80,0.7,0.05,False,3,19.6208,2.3932,16.8999,21.3994,0.55,0.04,65.65,8.7,33.3
300,80,0.7,0.2,True,3,19.3779,1.1956,18.0241,20.2888,1.56,0.09,70.0,7,66.7
300,80,0.7,0.2,False,3,19.5043,1.1,18.7967,20.7716,0.53,0.03,67.7,8.7,66.7
