population_size,generations,crossover_rate,mutation_rate,use_2opt,run_number,best_distance_km,best_fitness,travel_time_minutes,is_feasible,execution_time_seconds,initial_distance_km,final_distance_km,improvement_km,improvement_percentage,convergence_generation
700,40,0.9,0.05,False,2,18.1333,0.055147,23.51,True,0.75,45.2265,17.1333,28.0932,62.12,9
700,40,0.9,0.05,False,3,15.4234,0.064837,22.98,True,0.66,43.108,14.4234,28.6847,66.54,9
700,40,0.9,0.2,True,1,15.9006,0.062891,22.96,True,1.87,64.488,14.9006,49.5875,76.89,10
700,40,0.9,0.2,True,2,17.5155,0.057092,21.98,True,1.77,37.0728,16.5155,20.5572,55.45,8
700,40,0.9,0.2,True,3,15.8707,0.063009,23.66,True,2.05,35.5214,14.8707,20.6507,58.14,9
700,40,0.9,0.2,False,1,15.9006,0.062891,22.96,True,0.66,50.8503,14.9006,35.9497,70.7,10
700,40,0.9,0.2,False,2,18.8346,0.053094,24.29,True,0.73,59.358,17.8346,41.5234,69.95,9
700,40,0.9,0.2,False,3,15.8707,0.063009,23.66,True,0.73,54.4899,14.8707,39.6192,72.71,9
700,40,0.9,0.5,True,1,15.2565,0.065546,24.85,True,2.07,62.1118,14.2565,47.8553,77.05,8
700,40,0.9,0.5,True,2,15.2565,0.065546,24.85,True,2.19,49.8827,14.2565,35.6261,71.42,8
700,40,0.9,0.5,True,3,15.2698,0.065489,24.12,True,2.07,68.2088,14.2698,53.939,79.08,9
700,40,0.9,0.5,False,1,15.2565,0.065546,24.85,True,0.68,50.1461,14.2565,35.8896,71.57,11
700,40,0.9,0.5,False,2,16.4757,0.060695,25.62,True,0.66,55.8845,15.4757,40.4087,72.31,7
700,40,0.9,0.5,False,3,15.2565,0.065546,24.85,True,0.75,43.1024,14.2565,28.8458,66.92,8
700,80,0.6,0.01,True,1,21.3606,0.046707,25.3,False,3.74,30.8428,20.4101,10.4328,33.83,2
700,80,0.6,0.01,True,2,16.128,0.062004,25.6,True,3.36,28.5626,15.128,13.4346,47.04,8
700,80,0.6,0.01,True,3,17.0852,0.05853,24.36,True,5.62,41.9439,16.0852,25.8588,61.65,8
700,80,0.6,0.01,False,1,18.4699,0.054142,23.08,True,3.26,50.8224,17.4699,33.3526,65.63,10
700,80,0.6,0.01,False,2,15.4101,0.064893,23.71,True,3.01,38.9462,14.4101,24.5362,63.0,9
700,80,0.6,0.01,False,3,18.5981,0.053769,22.64,True,3.1,51.412,17.5981,33.8139,65.77,7
700,80,0.6,0.05,True,1,15.2565,0.065546,24.85,True,8.45,56.6416,14.2565,42.385,74.83,7
700,80,0.6,0.05,True,2,15.2698,0.065489,24.12,True,8.42,45.0243,14.2698,30.7544,68.31,10
700,80,0.6,0.05,True,3,15.2698,0.065489,24.12,True,8.32,51.7546,14.2698,37.4848,72.43,6
700,80,0.6,0.05,False,1,19.4336,0.051457,19.78,True,2.99,50.1962,18.4336,31.7626,63.28,12
700,80,0.6,0.05,False,2,18.8015,0.053187,20.46,True,2.97,40.5317,17.8015,22.7302,56.08,9
700,80,0.6,0.05,False,3,17.5155,0.057092,21.98,True,3.05,59.9402,16.5155,43.4246,72.45,9
700,80,0.6,0.2,True,1,18.5833,0.053812,21.66,True,9.55,60.1872,17.5833,42.6039,70.79,8
700,80,0.6,0.2,True,2,16.9618,0.058956,23.74,True,5.51,48.9249,15.9618,32.9631,67.37,6
700,80,0.6,0.2,True,3,15.4101,0.064893,23.71,True,3.48,39.0868,14.4101,24.6768,63.13,7
700,80,0.6,0.2,False,1,15.8707,0.063009,23.66,True,1.34,47.5449,14.8707,32.6743,68.72,9
700,80,0.6,0.2,False,2,17.5022,0.057136,22.71,True,1.32,46.9611,16.5022,30.4588,64.86,8
700,80,0.6,0.2,False,3,18.094,0.055267,26.01,True,1.63,32.3095,17.094,15.2155,47.09,7
700,80,0.6,0.5,True,1,16.1413,0.061953,24.87,True,10.63,58.754,15.1413,43.6126,74.23,6
700,80,0.6,0.5,True,2,18.2978,0.054652,23.34,True,9.3,50.2808,17.2978,32.983,65.6,6
700,80,0.6,0.5,True,3,16.6502,0.060059,23.94,True,9.36,52.3105,15.6502,36.6603,70.08,7
700,80,0.6,0.5,False,1,17.4532,0.057296,23.35,True,3.07,32.4148,16.4532,15.9616,49.24,10
700,80,0.6,0.5,False,2,15.2565,0.065546,24.85,True,3.11,67.0445,14.2565,52.7879,78.74,13
700,80,0.6,0.5,False,3,15.8707,0.063009,23.66,True,3.12,52.9597,14.8707,38.0891,71.92,11
700,80,0.7,0.01,True,1,18.2833,0.054695,18.82,True,9.16,33.2697,17.2833,15.9864,48.05,9
700,80,0.7,0.01,True,2,15.884,0.062957,22.93,True,8.42,46.6894,14.884,31.8054,68.12,8
700,80,0.7,0.01,True,3,14.9954,0.066687,24.23,True,8.34,51.6705,13.9954,37.6752,72.91,7
700,80,0.7,0.01,False,1,19.8587,0.050356,24.01,True,3.05,42.1409,18.8587,23.2822,55.25,7
700,80,0.7,0.01,False,2,18.349,0.054499,22.27,True,3.03,40.1828,17.349,22.8339,56.82,8
