population_size,generations,crossover_rate,mutation_rate,use_2opt,elitism_count,tournament_size,two_opt_iterations,run_number,best_distance_km,best_fitness,travel_time_minutes,is_feasible,execution_time_seconds,initial_distance_km,final_distance_km,improvement_km,improvement_percentage,convergence_generation
100,300,0.6,0.01,True,2,3,50,1,28.516,0.032153,33.01,False,8.41,81.2373,30.1011,51.1362,62.95,7
100,300,0.6,0.01,True,2,3,50,2,26.6313,0.035593,30.77,False,8.19,78.2768,27.0951,51.1817,65.39,2
100,300,0.6,0.01,True,2,3,50,3,25.4113,0.037963,31.47,False,8.18,61.6384,25.3414,36.2969,58.89,2
100,300,0.6,0.01,True,2,3,500,1,24.7331,0.03933,36.44,False,8.4,67.1158,24.4257,42.6901,63.61,2
100,300,0.6,0.01,True,2,3,500,2,28.2378,0.032644,31.69,False,8.2,68.8262,29.6331,39.1931,56.94,9
100,300,0.6,0.01,True,2,3,500,3,27.2692,0.034399,36.91,False,8.22,102.422,28.0703,74.3517,72.59,2
100,300,0.6,0.01,True,2,5,50,1,22.0055,0.045216,22.97,True,8.42,69.9163,21.1161,48.8001,69.8,8
100,300,0.6,0.01,True,2,5,50,2,25.3633,0.038059,30.1,False,8.24,97.4668,25.2753,72.1916,74.07,4
100,300,0.6,0.01,True,2,5,50,3,22.5489,0.043991,29.2,True,8.27,94.0916,21.732,72.3596,76.9,8
100,300,0.6,0.01,True,2,3,100,1,28.7351,0.03177,34.43,False,8.53,57.6789,30.4759,27.203,47.16,2
100,300,0.6,0.01,True,2,3,100,2,29.4272,0.030585,35.65,False,8.34,67.689,31.6962,35.9928,53.17,1
100,300,0.6,0.01,True,2,3,100,3,25.9434,0.036916,29.74,False,8.38,73.2888,26.0889,47.1999,64.4,6
100,300,0.6,0.01,True,2,5,100,1,23.3984,0.04213,27.14,True,8.25,69.8771,22.7362,47.1409,67.46,4
100,300,0.6,0.01,True,2,5,100,2,26.0422,0.036723,34.26,False,8.24,61.7812,26.2306,35.5506,57.54,2
100,300,0.6,0.01,True,2,5,100,3,23.6538,0.041583,29.02,True,8.27,90.6929,23.0485,67.6443,74.59,7
100,300,0.6,0.01,True,2,5,500,1,25.2811,0.038223,29.83,False,8.34,100.4692,25.1625,75.3067,74.96,2
100,300,0.6,0.01,True,2,5,500,2,21.3176,0.046808,23.2,True,8.41,94.2939,20.3639,73.9299,78.4,3
100,300,0.6,0.01,True,2,5,500,3,27.8198,0.033393,31.57,False,8.58,82.098,28.9463,53.1517,64.74,3
100,300,0.6,0.01,True,2,8,50,1,23.0459,0.042894,28.84,True,8.37,108.0224,22.3131,85.7093,79.34,2
100,300,0.6,0.01,True,2,8,50,2,25.6041,0.037581,29.36,False,8.32,87.9027,25.6093,62.2935,70.87,7
100,300,0.6,0.01,True,2,8,50,3,26.6562,0.035546,31.86,False,8.59,119.0217,27.1324,91.8893,77.2,3
100,300,0.6,0.01,True,2,8,100,1,26.0458,0.036716,31.67,False,8.48,77.6226,26.2358,51.3867,66.2,6
100,300,0.6,0.01,True,2,8,100,2,20.859,0.047897,24.47,True,8.48,81.6276,19.8783,61.7493,75.65,9
100,300,0.6,0.01,True,2,8,100,3,25.6553,0.03748,33.33,False,8.4,50.4455,25.6809,24.7646,49.09,8
100,300,0.6,0.01,True,2,8,500,1,21.7889,0.045712,23.48,True,8.26,66.6517,20.8761,45.7757,68.68,3
100,300,0.6,0.01,True,2,8,500,2,24.3094,0.040203,28.92,False,8.39,88.2214,23.8737,64.3476,72.94,3
100,300,0.6,0.01,True,2,8,500,3,26.208,0.036403,38.47,False,8.27,82.0229,26.4705,55.5524,67.73,4
100,300,0.6,0.01,True,5,3,50,1,27.1692,0.034584,31.48,False,8.17,50.7957,27.9147,22.8809,45.05,2
100,300,0.6,0.01,True,5,3,50,2,23.356,0.042221,28.47,True,8.2,77.6701,22.6848,54.9853,70.79,2
100,300,0.6,0.01,True,5,3,50,3,27.2349,0.034463,33.11,False,8.26,50.2988,28.0169,22.2819,44.3,2
100,300,0.6,0.01,True,5,3,100,1,26.188,0.036441,27.7,False,8.21,80.8105,26.4415,54.369,67.28,5
100,300,0.6,0.01,True,5,3,100,2,27.1516,0.034617,35.64,False,8.27,79.822,27.8874,51.9346,65.06,6
100,300,0.6,0.01,True,5,3,100,3,22.3542,0.044426,21.94,True,8.17,82.8305,21.5091,61.3214,74.03,8
100,300,0.6,0.01,True,5,3,500,1,24.8838,0.039023,30.06,False,8.1,86.5853,24.6256,61.9597,71.56,3
100,300,0.6,0.01,True,5,3,500,2,25.128,0.03853,32.54,False,8.17,41.4178,24.954,16.4638,39.75,10
100,300,0.6,0.01,True,5,3,500,3,25.4168,0.037952,32.82,False,8.32,114.7726,25.3491,89.4235,77.91,12
100,300,0.6,0.01,True,5,5,50,1,26.5223,0.0358,29.22,False,8.05,98.2462,26.9326,71.3136,72.59,10
100,300,0.6,0.01,True,5,5,50,2,24.2138,0.040402,27.98,False,8.04,53.4176,23.7512,29.6664,55.54,8
