population_size,generations,crossover_rate,mutation_rate,use_2opt,elitism_count,tournament_size,two_opt_iterations,run_number,best_distance_km,best_fitness,travel_time_minutes,is_feasible,execution_time_seconds,initial_distance_km,final_distance_km,improvement_km,improvement_percentage,convergence_generation
100,20,0.6,0.2,False,2,5,500,3,18.7039,0.053465,21.22,True,0.07,67.1007,17.7039,49.3967,73.62,11
100,20,0.6,0.2,False,2,8,50,1,29.133,0.031084,33.97,False,0.08,99.6938,31.1706,68.5231,68.73,6
100,20,0.6,0.2,False,2,8,50,2,22.0406,0.045136,26.99,False,0.1,102.896,21.1554,81.7406,79.44,7
100,20,0.6,0.2,False,2,8,50,3,20.9911,0.047581,27.97,False,0.09,84.8706,20.0169,64.8537,76.41,8
100,20,0.6,0.2,False,2,8,100,1,22.9194,0.043171,34.03,False,0.09,49.0521,22.1636,26.8885,54.82,6
100,20,0.6,0.2,False,2,8,100,2,22.2032,0.044767,28.14,False,0.09,40.9387,21.338,19.6007,47.88,7
100,20,0.6,0.2,False,2,8,100,3,28.429,0.032306,32.86,False,0.09,43.9496,29.9539,13.9958,31.85,5
100,20,0.6,0.2,False,2,8,500,1,23.3013,0.042339,28.55,False,0.09,45.117,22.6188,22.4983,49.87,5
100,20,0.6,0.2,False,2,8,500,2,24.3106,0.040201,31.05,False,0.09,64.03,23.8752,40.1548,62.71,7
100,20,0.6,0.2,False,2,8,500,3,24.498,0.039813,28.96,False,0.08,67.1913,24.1175,43.0738,64.11,8
100,20,0.6,0.2,False,5,3,50,1,17.5855,0.056865,26.35,True,0.08,73.5032,16.5855,56.9178,77.44,13
100,20,0.6,0.2,False,5,3,50,2,21.921,0.045409,28.22,False,0.08,75.1522,21.0222,54.1301,72.03,10
100,20,0.6,0.2,False,5,3,50,3,21.3311,0.046776,30.63,False,0.07,81.8773,20.3784,61.4989,75.11,15
100,20,0.6,0.2,False,5,3,100,1,17.3681,0.057577,25.83,True,0.08,93.555,16.3681,77.1869,82.5,20
100,20,0.6,0.2,False,5,3,100,2,20.9466,0.047687,26.02,False,0.08,68.0276,19.97,48.0576,70.64,15
100,20,0.6,0.2,False,5,3,100,3,19.634,0.050932,20.76,True,0.08,124.5188,18.634,105.8848,85.04,14
100,20,0.6,0.2,False,5,3,500,1,23.3087,0.042323,28.41,False,0.09,90.593,22.6277,67.9654,75.02,10
100,20,0.6,0.2,False,5,3,500,2,21.1889,0.047111,27.08,False,0.08,81.7106,20.2263,61.4843,75.25,15
100,20,0.6,0.2,False,5,3,500,3,24.7169,0.039363,28.13,False,0.08,93.292,24.4044,68.8876,73.84,10
100,20,0.6,0.2,False,5,5,50,1,20.1165,0.04971,25.38,False,0.08,61.556,19.1168,42.4392,68.94,15
100,20,0.6,0.2,False,5,5,50,2,21.7042,0.045907,27.01,False,0.08,61.1858,20.783,40.4027,66.03,10
100,20,0.6,0.2,False,5,5,50,3,21.0996,0.047323,24.72,False,0.08,47.9481,20.1314,27.8166,58.01,7
100,20,0.6,0.2,False,5,5,100,1,20.5307,0.04869,23.77,False,0.08,59.4906,19.538,39.9526,67.16,11
100,20,0.6,0.2,False,5,5,100,2,18.9895,0.052661,25.88,True,0.1,49.2024,17.9895,31.2129,63.44,8
100,20,0.6,0.2,False,5,5,100,3,21.5133,0.04635,27.95,False,0.08,61.9593,20.5749,41.3844,66.79,11
100,20,0.6,0.2,False,5,5,500,1,29.6421,0.030224,39.79,False,0.08,56.6725,32.0868,24.5856,43.38,8
100,20,0.6,0.2,False,5,5,500,2,24.0658,0.040711,28.31,False,0.08,79.8122,23.5631,56.2491,70.48,9
100,20,0.6,0.2,False,5,5,500,3,28.5911,0.032022,38.53,False,0.08,68.6075,30.2288,38.3787,55.94,12
100,20,0.6,0.2,False,5,8,50,1,24.2885,0.040246,29.69,False,0.08,104.6175,23.8469,80.7706,77.21,8
100,20,0.6,0.2,False,5,8,50,2,23.2883,0.042367,28.52,False,0.09,56.4157,22.603,33.8127,59.93,9
100,20,0.6,0.2,False,5,8,50,3,23.8762,0.041111,30.22,False,0.09,63.0801,23.3246,39.7555,63.02,9
100,20,0.6,0.2,False,5,8,100,1,20.2785,0.049308,23.52,False,0.09,84.8788,19.2805,65.5983,77.28,7
100,20,0.6,0.2,False,5,8,100,2,24.96,0.038869,28.29,False,0.08,49.0999,24.7275,24.3724,49.64,7
100,20,0.6,0.2,False,5,8,100,3,20.7864,0.048071,28.99,False,0.08,62.728,19.8024,42.9255,68.43,7
100,20,0.6,0.2,False,5,8,500,1,18.9222,0.052848,22.9,True,0.08,72.5523,17.9222,54.6301,75.3,9
100,20,0.6,0.2,False,5,8,500,2,22.9743,0.043051,27.37,False,0.09,73.6173,22.2283,51.3889,69.81,7
100,20,0.6,0.2,False,5,8,500,3,26.3727,0.036086,34.82,False,0.09,54.1653,26.7115,27.4538,50.69,6
100,20,0.6,0.2,False,10,3,50,1,25.1616,0.038462,28.49,False,0.07,83.6671,24.9995,58.6676,70.12,9
100,20,0.6,0.2,False,10,3,50,2,23.8987,0.041063,30.45,False,0.08,88.0246,23.3527,64.6719,73.47,20
100,20,0.6,0.2,False,10,3,50,3,23.6588,0.041572,29.36,False,0.07,52.3856,23.0547,29.3309,55.99,10
100,20,0.6,0.2,False,10,3,100,1,20.3695,0.049085,23.98,False,0.08,103.6163,19.373,84.2433,81.3,15
100,20,0.6,0.2,False,10,3,100,2,19.7395,0.05066,22.82,True,0.08,51.9708,18.7395,33.2313,63.94,15
100,20,0.6,0.2,False,10,3,100,3,23.2476,0.042455,30.22,False,0.08,59.3692,22.5541,36.815,62.01,7
100,20,0.6,0.2,False,10,3,500,1,25.9037,0.036993,25.33,False,0.08,56.386,26.0323,30.3537,53.83,4
