population_size,generations,crossover_rate,mutation_rate,use_2opt,elitism_count,tournament_size,two_opt_iterations,run_number,best_distance_km,best_fitness,travel_time_minutes,is_feasible,execution_time_seconds,initial_distance_km,final_distance_km,improvement_km,improvement_percentage,convergence_generation
100,20,0.6,0.01,True,2,3,100,1,20.1662,0.049586,24.78,False,0.35,87.7239,19.1669,68.557,78.15,12
100,20,0.6,0.01,True,2,3,100,2,19.6229,0.050961,32.16,True,0.3,59.4022,18.6229,40.7794,68.65,11
100,20,0.6,0.01,True,2,3,100,3,16.3178,0.061283,22.5,True,0.29,75.6719,15.3178,60.354,79.76,12
100,20,0.6,0.01,True,2,3,500,1,20.7842,0.048076,20.64,False,0.39,89.195,19.8002,69.3948,77.8,12
100,20,0.6,0.01,True,2,3,500,2,24.8275,0.039138,32.61,False,0.34,115.5957,24.5508,91.0449,78.76,12
100,20,0.6,0.01,True,2,3,500,3,20.4483,0.048891,24.07,False,0.32,56.1869,19.4535,36.7335,65.38,9
100,20,0.6,0.01,True,2,5,50,1,22.8801,0.043258,29.58,False,0.38,130.8893,22.1173,108.772,83.1,8
100,20,0.6,0.01,True,2,5,50,2,19.1214,0.052297,25.54,True,0.32,73.4407,18.1214,55.3193,75.33,7
100,20,0.6,0.01,True,2,5,50,3,20.2644,0.049343,23.45,False,0.33,64.834,19.2662,45.5678,70.28,9
100,20,0.6,0.01,True,2,3,50,1,21.0941,0.047336,26.34,False,0.42,128.1095,20.1257,107.9839,84.29,7
100,20,0.6,0.01,True,2,3,50,2,17.012,0.058782,24.4,True,0.32,56.9335,16.012,40.9215,71.88,13
100,20,0.6,0.01,True,2,3,50,3,20.1569,0.049609,23.47,False,0.37,69.2487,19.1575,50.0912,72.34,14
100,20,0.6,0.01,True,2,5,100,1,22.8208,0.043388,31.09,False,0.31,42.8705,22.0478,20.8227,48.57,5
100,20,0.6,0.01,True,2,5,100,2,20.4933,0.048782,22.93,False,0.33,61.3314,19.4995,41.8319,68.21,6
