population_size,generations,crossover_rate,mutation_rate,use_2opt,elitism_count,tournament_size,two_opt_iterations,num_runs,mean_distance_km,std_distance_km,min_distance_km,max_distance_km,mean_execution_time,std_execution_time,mean_improvement_pct,mean_convergence_gen,feasible_rate
100,20,0.6,0.01,False,5,8,50,3,25.483,1.6606,23.5773,26.6195,0.09,0.01,54.76,7.3,0.0
100,20,0.6,0.01,False,5,8,500,3,21.4217,3.6661,17.5118,24.7819,0.09,0.01,77.19,6.3,33.3
100,20,0.6,0.01,False,10,3,50,3,22.4682,2.0501,20.2238,24.2422,0.11,0.01,65.0,8.3,0.0
100,20,0.6,0.01,False,10,3,500,3,23.1664,2.1957,21.3799,25.6176,0.11,0.01,60.78,10.7,0.0
100,20,0.6,0.01,False,10,3,100,3,24.4386,0.5524,23.9775,25.0509,0.11,0.01,73.8,14.3,0.0
100,20,0.6,0.01,False,10,5,50,3,24.0262,2.1131,21.6171,25.566,0.11,0.01,72.74,7.3,0.0
100,20,0.6,0.01,False,10,5,100,3,26.4506,2.5364,24.4611,29.3068,0.12,0.02,62.78,12,0.0
100,20,0.6,0.01,False,10,5,500,3,24.5384,3.5945,20.7691,27.9279,0.1,0.02,46.77,6,0.0
100,20,0.6,0.01,False,10,8,50,3,25.8066,6.5952,21.0375,33.333,0.13,0.01,59.97,5.3,0.0
100,20,0.6,0.01,False,10,8,100,3,25.1873,1.3899,23.7848,26.5643,0.11,0.01,66.29,8.3,0.0
100,20,0.6,0.01,False,10,8,500,3,22.7265,0.9207,21.8317,23.671,0.11,0.03,68.33,6,0.0
100,20,0.6,0.05,True,2,3,50,3,19.776,3.1975,16.6737,23.0609,0.34,0.04,71.03,11.7,66.7
100,20,0.6,0.05,True,2,3,100,3,22.6881,1.2344,21.3259,23.7325,0.35,0.03,74.25,12,0.0
100,20,0.6,0.05,True,2,3,500,3,18.8369,2.5988,15.8372,20.4093,0.36,0.07,61.92,9.7,33.3
100,20,0.6,0.05,True,2,5,50,3,19.4424,1.6911,17.5993,20.9227,0.38,0.03,80.19,9,66.7
100,20,0.6,0.05,True,2,5,100,3,25.0166,1.4801,23.7513,26.6442,0.4,0.02,59.97,5.7,0.0
100,20,0.6,0.05,True,2,5,500,3,20.7549,2.32,18.5282,23.1582,0.4,0.02,65.36,8.3,33.3
100,20,0.6,0.05,True,2,8,50,3,21.7426,2.5328,19.8728,24.6251,0.4,0.01,66.77,7,33.3
100,20,0.6,0.05,True,2,8,100,3,20.9411,0.9562,19.895,21.7699,0.36,0.04,68.85,7,33.3
100,20,0.6,0.05,True,2,8,500,3,19.7067,2.1539,17.3581,21.5899,0.39,0.02,77.85,8.3,33.3
100,20,0.6,0.05,True,5,3,100,3,19.7888,4.1258,15.3561,23.5169,0.34,0.03,76.24,9,33.3
100,20,0.6,0.05,True,5,3,50,3,20.0692,0.2319,19.9005,20.3337,0.38,0.02,67.41,15.3,66.7
100,20,0.6,0.05,True,5,3,500,3,19.9345,1.4054,18.4999,21.3087,0.37,0.02,78.37,13,66.7
